"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
157,"0",0,0,0.774392644082186,0.632705328562516,0.199367934417197,0.97992470462083,"1","F",8.09527316581261,7.01660275636368,6.65410565443949
158,"0",0,0,0.77162458338772,0.636078220277764,0.190808995376545,0.981627183447664,"1","F",8.0955758738985,7.01828847482034,6.65689702360555
159,"0",0,0,0.768841832073459,0.639439001980585,0.182235525492147,0.983254907563955,"1","F",8.09590104020481,7.02008057584999,6.65971736245001
160,"0",0,0,0.766044443118978,0.642787609686539,0.17364817766693,0.984807753012208,"1","F",8.09624866312402,7.02197915586657,6.66256666118966
161,"0",0,0,0.763232469782529,0.646123979642964,0.165047605860678,0.986285601537231,"1","F",8.09661874083167,7.02398431537654,6.66544490984234
162,"0",0,0,0.760405965600031,0.649448048330184,0.156434465040231,0.987688340595138,"1","F",8.09701127128687,7.02609615898768,6.66835209822739
163,"0",0,0,0.75756498438405,0.652759752462722,0.147809411129611,0.989015863361917,"1","F",8.09742625223157,7.02831479541555,6.67128821596134
164,"0",0,0,0.754709580222772,0.656059028990507,0.139173100960066,0.99026806874157,"1","F",8.09786368119035,7.03064033749001,6.67425325245722
165,"0",0,0,0.751839807478977,0.659345815100069,0.130526192220052,0.99144486137381,"1","F",8.09832355547019,7.0330729021648,6.67724719692183
166,"0",0,0,0.748955720789002,0.662620048215738,0.121869343405147,0.992546151641322,"1","F",8.09880587216048,7.03561261052278,6.68027003835346
167,"0",0,0,0.746057375061699,0.665881666000834,0.113203213767907,0.993571855676587,"1","F",8.09931062813257,7.03825958778543,6.68332176554009
168,"0",0,0,0.743144825477394,0.669130606358858,0.104528463267653,0.994521895368273,"1","F",8.09983782003951,7.0410139633193,6.68640236705642
169,"0",0,0,0.740218127486832,0.672366807434668,0.0958457525202241,0.995396198367179,"1","F",8.10038744431586,7.04387587064411,6.68951183126251
170,"0",0,0,0.737277336810124,0.67559020761566,0.0871557427476581,0.996194698091746,"1","F",8.10095949717743,7.04684544744146,6.69265014630059
171,"0",0,0,0.734322509435686,0.678800745532942,0.078459095727845,0.996917333733128,"1","F",8.10155397462063,7.04992283556135,6.69581730009372
172,"0",0,0,0.731353701619171,0.681998360062498,0.0697564737441255,0.997564050259824,"1","F",8.1021708724229,7.05310818103135,6.6990132803428
173,"0",0,0,0.7283709698824,0.685182990326359,0.0610485395348569,0.998134798421867,"1","F",8.10281018614137,7.05640163406451,6.70223807452453
174,"0",0,0,0.725374371012288,0.688354575693754,0.052335956242944,0.998629534754574,"1","F",8.10347191111373,7.05980334906735,6.70549166988872
175,"0",0,0,0.722363962059756,0.691513055782269,0.0436193873653362,0.999048221581858,"1","F",8.10415604245713,7.06331348464801,6.70877405345664
176,"0",0,0,0.719339800338651,0.694658370458997,0.0348994967025011,0.999390827019096,"1","F",8.10486257506773,7.06693220362536,6.71208521201743
177,"0",0,0,0.716301943424654,0.69779045984168,0.0261769483078731,0.999657324975557,"1","F",8.10559150362133,7.07065967303652,6.71542513212739
178,"0",0,0,0.713250449154182,0.700909264299851,0.0174524064372834,0.999847695156391,"1","F",8.10634282257183,7.07449606414616,6.71879380010569
179,"0",0,0,0.710185375623285,0.704014724455968,0.0087265354983739,0.999961923064171,"1","F",8.10711652615123,7.07844155245516,6.7221912020334
180,"0",0,0,0.707106781186548,0.707106781186547,0.0000000000000000612303176911189,1,"1","F",8.10791260837027,7.08249631770855,6.72561732375016
181,"0",0,0,0.704014724455968,0.710185375623285,-0.00872653549837378,0.999961923064171,"1","F",8.10873106301642,7.08666054390505,6.72907215085229
182,"0",0,0,0.700909264299851,0.713250449154182,-0.0174524064372835,0.999847695156391,"1","F",8.10957188365455,7.09093441930622,6.73255566868988
183,"0",0,0,0.69779045984168,0.716301943424654,-0.026176948307873,0.999657324975557,"1","F",8.11043506362671,7.09531813644435,6.73606786236405
184,"0",0,0,0.694658370458997,0.719339800338651,-0.0348994967025007,0.999390827019096,"1","F",8.11132059605052,7.09981189213249,6.73960871672512
185,"0",0,0,0.691513055782269,0.722363962059756,-0.0436193873653359,0.999048221581858,"1","F",8.1122284738201,7.10441588747335,6.74317821636942
186,"0",0,0,0.688354575693754,0.725374371012288,-0.0523359562429436,0.998629534754574,"1","F",8.11315868960514,7.10913032786834,6.74677634563773
187,"0",0,0,0.685182990326359,0.7283709698824,-0.061048539534857,0.998134798421867,"1","F",8.11411123585003,7.11395542302694,6.75040308861071
188,"0",0,0,0.681998360062498,0.73135370161917,-0.0697564737441253,0.997564050259824,"1","F",8.11508610477426,7.11889138697643,6.75405842910845
189,"0",0,0,0.678800745532942,0.734322509435686,-0.0784590957278449,0.996917333733128,"1","F",8.11608328837133,7.12393843807104,6.75774235068684
190,"0",0,0,0.67559020761566,0.737277336810124,-0.0871557427476582,0.996194698091746,"1","F",8.11710277840871,7.12909679900145,6.76145483663458
191,"0",0,0,0.672366807434668,0.740218127486832,-0.095845752520224,0.995396198367179,"1","F",8.11814456642696,7.13436669680482,6.76519586997097
192,"0",0,0,0.669130606358858,0.743144825477394,-0.104528463267653,0.994521895368273,"1","F",8.11920864373951,7.13974836287434,6.76896543344378
